year,county,state,county_name,income,perc_change,est_mortgage,income_needed,actual_needed_diff,actual_needed_ratio
 2019,Brantley,GA,"Brantley, GA",29129,0,689,29529,-400,0.99
 2020,Brantley,GA,"Brantley, GA",32549,12,774,33171,-622,0.98
 2021,Brantley,GA,"Brantley, GA",35435,9,1011,43329,-7894,0.82
 2019,Braxton,WV,"Braxton, WV",36234,0,415,17786,18448,2.04
 2020,Braxton,WV,"Braxton, WV",39143,8,466,19971,19172,1.96
 2021,Braxton,WV,"Braxton, WV",41547,6,550,23571,17976,1.76
 2019,Brazoria,TX,"Brazoria, TX",51117,0,1363,58414,-7297,0.88
 2020,Brazoria,TX,"Brazoria, TX",53365,4,1321,56614,-3249,0.94
 2021,Brazoria,TX,"Brazoria, TX",56360,6,1660,71143,-14783,0.79
 2019,Brazos,TX,"Brazos, TX",41404,0,1265,54214,-12810,0.76
 2020,Brazos,TX,"Brazos, TX",43484,5,1285,55071,-11587,0.79
 2021,Brazos,TX,"Brazos, TX",46702,7,1459,62529,-15827,0.75
 2019,Breathitt,KY,"Breathitt, KY",31692,0,827,35443,-3751,0.89
 2020,Breathitt,KY,"Breathitt, KY",35222,11,640,27429,7793,1.28
 2021,Breathitt,KY,"Breathitt, KY",39754,13,965,41357,-1603,0.96
 2019,Breckinridge,KY,"Breckinridge, KY",35521,0,712,30514,5007,1.16
 2020,Breckinridge,KY,"Breckinridge, KY",39121,10,890,38143,978,1.03
 2021,Breckinridge,KY,"Breckinridge, KY",42724,9,860,36857,5867,1.16
 2019,Bremer,IA,"Bremer, IA",50742,0,709,30386,20356,1.67
 2020,Bremer,IA,"Bremer, IA",54062,7,856,36686,17376,1.47
 2021,Bremer,IA,"Bremer, IA",57876,7,916,39257,18619,1.47
 2019,Brevard,FL,"Brevard, FL",48725,0,1355,58071,-9346,0.84
 2020,Brevard,FL,"Brevard, FL",51769,6,1423,60986,-9217,0.85
 2021,Brevard,FL,"Brevard, FL",55477,7,1766,75686,-20209,0.73
 2019,Brewster,TX,"Brewster, TX",46357,0,1178,50486,-4129,0.92
 2020,Brewster,TX,"Brewster, TX",48670,5,1367,58586,-9916,0.83
 2021,Brewster,TX,"Brewster, TX",53014,9,1852,79371,-26357,0.67
 2019,Briscoe,TX,"Briscoe, TX",45182,0,279,11957,33225,3.78
 2020,Briscoe,TX,"Briscoe, TX",45515,1,349,14957,30558,3.04
 2021,Briscoe,TX,"Briscoe, TX",58862,29,520,22286,36576,2.64
 2019,Bristol Bay,AK,"Bristol Bay, AK",136337,0,540,23143,113194,5.89
 2020,Bristol Bay,AK,"Bristol Bay, AK",138387,2,648,27771,110616,4.98
 2021,Bristol Bay,AK,"Bristol Bay, AK",155155,12,1847,79157,75998,1.96
 2019,Bristol,MA,"Bristol, MA",55047,0,1772,75943,-20896,0.72
 2020,Bristol,MA,"Bristol, MA",61116,11,1922,82371,-21255,0.74
 2021,Bristol,MA,"Bristol, MA",64924,6,2166,92829,-27905,0.7
 2019,Bristol,RI,"Bristol, RI",78427,0,2615,112071,-33644,0.7
 2020,Bristol,RI,"Bristol, RI",82053,5,2737,117300,-35247,0.7
 2021,Bristol,RI,"Bristol, RI",87810,7,2517,107871,-20061,0.81
 2019,Broadwater,MT,"Broadwater, MT",43874,0,1600,68571,-24697,0.64
 2020,Broadwater,MT,"Broadwater, MT",46978,7,1610,69000,-22022,0.68
 2021,Broadwater,MT,"Broadwater, MT",47541,1,2939,125957,-78416,0.38
 2019,Bronx,NY,"Bronx, NY",37090,0,2017,86443,-49353,0.43
 2020,Bronx,NY,"Bronx, NY",42414,14,2092,89657,-47243,0.47
 2021,Bronx,NY,"Bronx, NY",46834,10,1612,69086,-22252,0.68
 2019,Brooke,WV,"Brooke, WV",43210,0,514,22029,21181,1.96
 2020,Brooke,WV,"Brooke, WV",46858,8,418,17914,28944,2.62
 2021,Brooke,WV,"Brooke, WV",50271,7,696,29829,20442,1.69
 2019,Brookings,SD,"Brookings, SD",48112,0,1133,48557,-445,0.99
 2020,Brookings,SD,"Brookings, SD",51581,7,1216,52114,-533,0.99
 2021,Brookings,SD,"Brookings, SD",53860,4,1458,62486,-8626,0.86
 2019,Brooks,GA,"Brooks, GA",35010,0,674,28886,6124,1.21
 2020,Brooks,GA,"Brooks, GA",38394,10,763,32700,5694,1.17
 2021,Brooks,GA,"Brooks, GA",40982,7,945,40500,482,1.01
 2019,Brooks,TX,"Brooks, TX",36269,0,493,21129,15140,1.72
 2020,Brooks,TX,"Brooks, TX",40399,11,498,21343,19056,1.89
 2021,Brooks,TX,"Brooks, TX",43437,8,929,39814,3623,1.09
 2019,Broome,NY,"Broome, NY",43732,0,580,24857,18875,1.76
 2020,Broome,NY,"Broome, NY",47712,9,624,26743,20969,1.78
 2021,Broome,NY,"Broome, NY",50657,6,719,30814,19843,1.64
 2019,Broomfield,CO,"Broomfield, CO",67287,0,2781,119186,-51899,0.56
 2020,Broomfield,CO,"Broomfield, CO",66999,0,2768,118629,-51630,0.56
 2021,Broomfield,CO,"Broomfield, CO",73678,10,2876,123257,-49579,0.6
 2019,Broward,FL,"Broward, FL",54387,0,1533,65700,-11313,0.83
 2020,Broward,FL,"Broward, FL",57878,6,1576,67543,-9665,0.86
 2021,Broward,FL,"Broward, FL",64453,11,1482,63514,939,1.01
 2019,Brown,IL,"Brown, IL",38185,0,481,20614,17571,1.85
 2020,Brown,IL,"Brown, IL",42396,11,577,24729,17667,1.71
 2021,Brown,IL,"Brown, IL",44740,6,608,26057,18683,1.72
 2019,Brown,IN,"Brown, IN",48886,0,1497,64157,-15271,0.76
 2020,Brown,IN,"Brown, IN",51632,6,1499,64243,-12611,0.8
 2021,Brown,IN,"Brown, IN",55345,7,1976,84686,-29341,0.65
 2019,Brown,KS,"Brown, KS",45399,0,352,15086,30313,3.01
 2020,Brown,KS,"Brown, KS",48769,7,372,15943,32826,3.06
 2021,Brown,KS,"Brown, KS",51906,6,417,17871,34035,2.9
 2019,Brown,MN,"Brown, MN",52840,0,668,28629,24211,1.85
 2020,Brown,MN,"Brown, MN",57177,8,729,31243,25934,1.83
 2021,Brown,MN,"Brown, MN",60615,6,778,33343,27272,1.82
 2019,Brown,NE,"Brown, NE",56927,0,575,24643,32284,2.31
 2020,Brown,NE,"Brown, NE",63013,11,510,21857,41156,2.88
 2021,Brown,NE,"Brown, NE",63598,1,1062,45514,18084,1.4
 2019,Brown,OH,"Brown, OH",39149,0,721,30900,8249,1.27
 2020,Brown,OH,"Brown, OH",42639,9,739,31671,10968,1.35
 2021,Brown,OH,"Brown, OH",45795,7,1047,44871,924,1.02
 2019,Brown,SD,"Brown, SD",56126,0,989,42386,13740,1.32
 2020,Brown,SD,"Brown, SD",63550,13,868,37200,26350,1.71
 2021,Brown,SD,"Brown, SD",66044,4,1100,47143,18901,1.4
 2019,Brown,TX,"Brown, TX",40734,0,659,28243,12491,1.44
 2020,Brown,TX,"Brown, TX",43001,6,699,29957,13044,1.44
 2021,Brown,TX,"Brown, TX",46028,7,1080,46286,-258,0.99
 2019,Brown,WI,"Brown, WI",53415,0,1365,58500,-5085,0.91
 2020,Brown,WI,"Brown, WI",56305,5,1411,60471,-4166,0.93
 2021,Brown,WI,"Brown, WI",59279,5,1666,71400,-12121,0.83
 2019,Brule,SD,"Brule, SD",45995,0,563,24129,21866,1.91
 2020,Brule,SD,"Brule, SD",53397,16,648,27771,25626,1.92
 2021,Brule,SD,"Brule, SD",59267,11,997,42729,16538,1.39
 2019,Brunswick,NC,"Brunswick, NC",50004,0,1528,65486,-15482,0.76
 2020,Brunswick,NC,"Brunswick, NC",52706,5,1679,71957,-19251,0.73
 2021,Brunswick,NC,"Brunswick, NC",55361,5,1857,79586,-24225,0.7
 2019,Brunswick,VA,"Brunswick, VA",33612,0,1381,59186,-25574,0.57
 2020,Brunswick,VA,"Brunswick, VA",37119,10,1148,49200,-12081,0.75
 2021,Brunswick,VA,"Brunswick, VA",40151,8,1453,62271,-22120,0.64
 2019,Bryan,GA,"Bryan, GA",49390,0,1444,61886,-12496,0.8
 2020,Bryan,GA,"Bryan, GA",51580,4,1438,61629,-10049,0.84
 2021,Bryan,GA,"Bryan, GA",54772,6,1905,81643,-26871,0.67
 2019,Bryan,OK,"Bryan, OK",37796,0,976,41829,-4033,0.9
 2020,Bryan,OK,"Bryan, OK",40318,7,1110,47571,-7253,0.85
 2021,Bryan,OK,"Bryan, OK",43871,9,1272,54514,-10643,0.8
 2019,Buchanan,IA,"Buchanan, IA",49864,0,687,29443,20421,1.69
 2020,Buchanan,IA,"Buchanan, IA",52527,5,745,31929,20598,1.65
 2021,Buchanan,IA,"Buchanan, IA",57200,9,1005,43071,14129,1.33
 2019,Buchanan,MO,"Buchanan, MO",40780,0,513,21986,18794,1.85
 2020,Buchanan,MO,"Buchanan, MO",43594,7,503,21557,22037,2.02
 2021,Buchanan,MO,"Buchanan, MO",46362,6,476,20400,25962,2.27
 2019,Buchanan,VA,"Buchanan, VA",37586,0,618,26486,11100,1.42
 2020,Buchanan,VA,"Buchanan, VA",40138,7,613,26271,13867,1.53
 2021,Buchanan,VA,"Buchanan, VA",44003,10,755,32357,11646,1.36
 2019,Buckingham,VA,"Buckingham, VA",31098,0,786,33686,-2588,0.92
 2020,Buckingham,VA,"Buckingham, VA",33666,8,1175,50357,-16691,0.67
 2021,Buckingham,VA,"Buckingham, VA",37220,11,1646,70543,-33323,0.53
 2019,Bucks,PA,"Bucks, PA",75056,0,2049,87814,-12758,0.85
 2020,Bucks,PA,"Bucks, PA",79239,6,2301,98614,-19375,0.8
 2021,Bucks,PA,"Bucks, PA",83011,5,2519,107957,-24946,0.77
 2019,Buena Vista,IA,"Buena Vista, IA",42807,0,572,24514,18293,1.75
 2020,Buena Vista,IA,"Buena Vista, IA",45550,6,415,17786,27764,2.56
 2021,Buena Vista,IA,"Buena Vista, IA",49006,8,725,31071,17935,1.58
 2019,Buffalo,NE,"Buffalo, NE",56553,0,1030,44143,12410,1.28
 2020,Buffalo,NE,"Buffalo, NE",59369,5,1009,43243,16126,1.37
 2021,Buffalo,NE,"Buffalo, NE",61763,4,1317,56443,5320,1.09
 2020,Buffalo,SD,"Buffalo, SD",25764,28,1247,53443,-27679,0.48
 2021,Buffalo,SD,"Buffalo, SD",32773,27,1199,51386,-18613,0.64
 2019,Buffalo,WI,"Buffalo, WI",45734,0,667,28586,17148,1.6
 2020,Buffalo,WI,"Buffalo, WI",49202,8,773,33129,16073,1.49
 2021,Buffalo,WI,"Buffalo, WI",53031,8,650,27857,25174,1.9
 2019,Bullitt,KY,"Bullitt, KY",43527,0,1238,53057,-9530,0.82
 2020,Bullitt,KY,"Bullitt, KY",46834,8,1233,52843,-6009,0.89
 2021,Bullitt,KY,"Bullitt, KY",50169,7,1561,66900,-16731,0.75
 2019,Bulloch,GA,"Bulloch, GA",33054,0,820,35143,-2089,0.94
 2020,Bulloch,GA,"Bulloch, GA",35618,8,892,38229,-2611,0.93
 2021,Bulloch,GA,"Bulloch, GA",37901,6,1278,54771,-16870,0.69
 2019,Bullock,AL,"Bullock, AL",27192,0,1049,44957,-17765,0.6
 2020,Bullock,AL,"Bullock, AL",30429,12,489,20957,9472,1.45
 2021,Bullock,AL,"Bullock, AL",33267,9,1291,55329,-22062,0.6
 2019,Buncombe,NC,"Buncombe, NC",51095,0,1955,83786,-32691,0.61
 2020,Buncombe,NC,"Buncombe, NC",53944,6,2128,91200,-37256,0.59
 2021,Buncombe,NC,"Buncombe, NC",57895,7,2470,105857,-47962,0.55
 2019,Bureau,IL,"Bureau, IL",41467,0,497,21300,20167,1.95
 2020,Bureau,IL,"Bureau, IL",45938,11,464,19886,26052,2.31
 2021,Bureau,IL,"Bureau, IL",51269,12,687,29443,21826,1.74
 2019,Burke,GA,"Burke, GA",36082,0,857,36729,-647,0.98
 2020,Burke,GA,"Burke, GA",39207,9,801,34329,4878,1.14
 2021,Burke,GA,"Burke, GA",41870,7,950,40714,1156,1.03
 2019,Burke,NC,"Burke, NC",37922,0,1214,52029,-14107,0.73
 2020,Burke,NC,"Burke, NC",41229,9,1230,52714,-11485,0.78
 2021,Burke,NC,"Burke, NC",44798,9,1205,51643,-6845,0.87
 2019,Burke,ND,"Burke, ND",73848,0,423,18129,55719,4.07
 2020,Burke,ND,"Burke, ND",75228,2,254,10886,64342,6.91
 2021,Burke,ND,"Burke, ND",72515,-4,436,18686,53829,3.88
 2019,Burleigh,ND,"Burleigh, ND",60474,0,1394,59743,731,1.01
 2020,Burleigh,ND,"Burleigh, ND",62746,4,1439,61671,1075,1.02
 2021,Burleigh,ND,"Burleigh, ND",66017,5,1433,61414,4603,1.07
 2019,Burleson,TX,"Burleson, TX",50401,0,829,35529,14872,1.42
 2020,Burleson,TX,"Burleson, TX",52934,5,962,41229,11705,1.28
 2021,Burleson,TX,"Burleson, TX",57482,9,1261,54043,3439,1.06
 2019,Burlington,NJ,"Burlington, NJ",62113,0,1148,49200,12913,1.26
 2020,Burlington,NJ,"Burlington, NJ",65654,6,1255,53786,11868,1.22
 2021,Burlington,NJ,"Burlington, NJ",69496,6,1438,61629,7867,1.13
 2019,Burnet,TX,"Burnet, TX",53648,0,1924,82457,-28809,0.65
 2020,Burnet,TX,"Burnet, TX",55779,4,2184,93600,-37821,0.6
 2021,Burnet,TX,"Burnet, TX",59381,7,3480,149143,-89762,0.4
 2019,Burnett,WI,"Burnett, WI",43464,0,961,41186,2278,1.06
 2020,Burnett,WI,"Burnett, WI",46226,6,983,42129,4097,1.1
 2021,Burnett,WI,"Burnett, WI",49108,6,1208,51771,-2663,0.95
 2019,Burt,NE,"Burt, NE",47652,0,547,23443,24209,2.03
 2020,Burt,NE,"Burt, NE",52212,10,710,30429,21783,1.72
 2021,Burt,NE,"Burt, NE",56557,8,730,31286,25271,1.81
 2019,Butler,AL,"Butler, AL",39254,0,567,24300,14954,1.62
 2020,Butler,AL,"Butler, AL",41151,5,587,25157,15994,1.64
 2021,Butler,AL,"Butler, AL",46050,12,583,24986,21064,1.84
 2019,Butler,IA,"Butler, IA",46956,0,540,23143,23813,2.03
 2020,Butler,IA,"Butler, IA",49855,6,551,23614,26241,2.11
 2021,Butler,IA,"Butler, IA",57604,16,804,34457,23147,1.67
 2019,Butler,KS,"Butler, KS",47729,0,1017,43586,4143,1.1
 2020,Butler,KS,"Butler, KS",49703,4,819,35100,14603,1.42
 2021,Butler,KS,"Butler, KS",51643,4,1090,46714,4929,1.11
 2019,Butler,KY,"Butler, KY",35840,0,772,33086,2754,1.08
 2020,Butler,KY,"Butler, KY",39306,10,690,29571,9735,1.33
 2021,Butler,KY,"Butler, KY",43937,12,968,41486,2451,1.06
 2019,Butler,MO,"Butler, MO",36123,0,588,25200,10923,1.43
 2020,Butler,MO,"Butler, MO",40610,12,620,26571,14039,1.53
 2021,Butler,MO,"Butler, MO",43194,6,606,25971,17223,1.66
 2019,Butler,NE,"Butler, NE",48773,0,692,29657,19116,1.64
 2020,Butler,NE,"Butler, NE",55051,13,511,21900,33151,2.51
 2021,Butler,NE,"Butler, NE",59717,9,893,38271,21446,1.56
 2019,Butler,OH,"Butler, OH",49578,0,1119,47957,1621,1.03
 2020,Butler,OH,"Butler, OH",52403,6,1199,51386,1017,1.02
 2021,Butler,OH,"Butler, OH",55636,6,1166,49971,5665,1.11
 2019,Butler,PA,"Butler, PA",60060,0,1174,50314,9746,1.19
 2020,Butler,PA,"Butler, PA",63693,6,1421,60900,2793,1.05
 2021,Butler,PA,"Butler, PA",67203,6,1510,64714,2489,1.04
 2019,Butte,CA,"Butte, CA",46174,0,1627,69729,-23555,0.66
 2020,Butte,CA,"Butte, CA",51402,11,1810,77571,-26169,0.66
 2021,Butte,CA,"Butte, CA",54694,6,2155,92357,-37663,0.59
 2019,Butte,ID,"Butte, ID",44864,0,543,23271,21593,1.93
 2020,Butte,ID,"Butte, ID",49413,10,835,35786,13627,1.38
 2021,Butte,ID,"Butte, ID",48844,-1,1163,49843,-999,0.98
 2019,Butte,SD,"Butte, SD",40729,0,1278,54771,-14042,0.74
 2020,Butte,SD,"Butte, SD",44148,8,1110,47571,-3423,0.93
 2021,Butte,SD,"Butte, SD",45885,4,1365,58500,-12615,0.78
 2019,Butts,GA,"Butts, GA",35569,0,903,38700,-3131,0.92
 2020,Butts,GA,"Butts, GA",38057,7,1206,51686,-13629,0.74
 2021,Butts,GA,"Butts, GA",41657,10,1310,56143,-14486,0.74
 2019,Cabarrus,NC,"Cabarrus, NC",46415,0,1501,64329,-17914,0.72
 2020,Cabarrus,NC,"Cabarrus, NC",49592,7,1497,64157,-14565,0.77
 2021,Cabarrus,NC,"Cabarrus, NC",53647,8,1492,63943,-10296,0.84
 2019,Cabell,WV,"Cabell, WV",43680,0,620,26571,17109,1.64
 2020,Cabell,WV,"Cabell, WV",46506,7,561,24043,22463,1.93
 2021,Cabell,WV,"Cabell, WV",49866,7,543,23271,26595,2.14
 2019,Cache,UT,"Cache, UT",41127,0,1447,62014,-20887,0.66
 2020,Cache,UT,"Cache, UT",43253,5,1423,60986,-17733,0.71
 2021,Cache,UT,"Cache, UT",47269,9,2353,100843,-53574,0.47
 2019,Caddo,LA,"Caddo, LA",49516,0,835,35786,13730,1.38
 2020,Caddo,LA,"Caddo, LA",53120,7,816,34971,18149,1.52
 2021,Caddo,LA,"Caddo, LA",57420,8,727,31157,26263,1.84
 2019,Caddo,OK,"Caddo, OK",39266,0,490,21000,18266,1.87
 2020,Caddo,OK,"Caddo, OK",41445,6,452,19371,22074,2.14
 2021,Caddo,OK,"Caddo, OK",45452,10,533,22843,22609,1.99
 2019,Calaveras,CA,"Calaveras, CA",50310,0,1870,80143,-29833,0.63
 2020,Calaveras,CA,"Calaveras, CA",55355,10,1845,79071,-23716,0.7
 2021,Calaveras,CA,"Calaveras, CA",57726,4,2682,114943,-57217,0.5
 2019,Calcasieu,LA,"Calcasieu, LA",45824,0,1129,48386,-2562,0.95
 2020,Calcasieu,LA,"Calcasieu, LA",47033,3,1050,45000,2033,1.05
 2021,Calcasieu,LA,"Calcasieu, LA",50775,8,1038,44486,6289,1.14
 2019,Caldwell,KY,"Caldwell, KY",35646,0,697,29871,5775,1.19
 2020,Caldwell,KY,"Caldwell, KY",40176,13,631,27043,13133,1.49
 2021,Caldwell,KY,"Caldwell, KY",44963,12,718,30771,14192,1.46
 2019,Caldwell,LA,"Caldwell, LA",35695,0,632,27086,8609,1.32
 2020,Caldwell,LA,"Caldwell, LA",39210,10,661,28329,10881,1.38
 2021,Caldwell,LA,"Caldwell, LA",42049,7,1528,65486,-23437,0.64
 2019,Caldwell,MO,"Caldwell, MO",39967,0,565,24214,15753,1.65
 2020,Caldwell,MO,"Caldwell, MO",42976,8,716,30686,12290,1.4
 2021,Caldwell,MO,"Caldwell, MO",45802,7,904,38743,7059,1.18
 2019,Caldwell,NC,"Caldwell, NC",37207,0,1067,45729,-8522,0.81
 2020,Caldwell,NC,"Caldwell, NC",40147,8,1172,50229,-10082,0.8
 2021,Caldwell,NC,"Caldwell, NC",43856,9,1270,54429,-10573,0.81
 2019,Caldwell,TX,"Caldwell, TX",34368,0,1258,53914,-19546,0.64
 2020,Caldwell,TX,"Caldwell, TX",37189,8,1231,52757,-15568,0.7
 2021,Caldwell,TX,"Caldwell, TX",41642,12,1998,85629,-43987,0.49
 2019,Caledonia,VT,"Caledonia, VT",43758,0,940,40286,3472,1.09
 2020,Caledonia,VT,"Caledonia, VT",48202,10,944,40457,7745,1.19
 2021,Caledonia,VT,"Caledonia, VT",50533,5,995,42643,7890,1.19
 2019,Calhoun,AL,"Calhoun, AL",36869,0,579,24814,12055,1.49
 2020,Calhoun,AL,"Calhoun, AL",39546,7,671,28757,10789,1.38
 2021,Calhoun,AL,"Calhoun, AL",42621,8,732,31371,11250,1.36
 2019,Calhoun,AR,"Calhoun, AR",38581,0,349,14957,23624,2.58
 2020,Calhoun,AR,"Calhoun, AR",42102,9,598,25629,16473,1.64
 2021,Calhoun,AR,"Calhoun, AR",45401,8,360,15429,29972,2.94
 2019,Calhoun,FL,"Calhoun, FL",30016,0,951,40757,-10741,0.74
 2020,Calhoun,FL,"Calhoun, FL",33042,10,985,42214,-9172,0.78
 2021,Calhoun,FL,"Calhoun, FL",35792,8,1242,53229,-17437,0.67
 2019,Calhoun,GA,"Calhoun, GA",28906,0,433,18557,10349,1.56
 2020,Calhoun,GA,"Calhoun, GA",31898,10,251,10757,21141,2.97
 2021,Calhoun,GA,"Calhoun, GA",34306,8,1017,43586,-9280,0.79
 2019,Calhoun,IA,"Calhoun, IA",47897,0,473,20271,27626,2.36
 2020,Calhoun,IA,"Calhoun, IA",50233,5,371,15900,34333,3.16
 2021,Calhoun,IA,"Calhoun, IA",57289,14,672,28800,28489,1.99
 2019,Calhoun,IL,"Calhoun, IL",44902,0,527,22586,22316,1.99
 2020,Calhoun,IL,"Calhoun, IL",49809,11,569,24386,25423,2.04
 2021,Calhoun,IL,"Calhoun, IL",55240,11,529,22671,32569,2.44
 2019,Calhoun,MI,"Calhoun, MI",40497,0,647,27729,12768,1.46
 2020,Calhoun,MI,"Calhoun, MI",44796,11,682,29229,15567,1.53
 2021,Calhoun,MI,"Calhoun, MI",47789,7,768,32914,14875,1.45
 2019,Calhoun,MS,"Calhoun, MS",35831,0,422,18086,17745,1.98
 2020,Calhoun,MS,"Calhoun, MS",40299,13,465,19929,20370,2.02
 2021,Calhoun,MS,"Calhoun, MS",43222,7,654,28029,15193,1.54
 2019,Calhoun,SC,"Calhoun, SC",43214,0,1061,45471,-2257,0.95
 2020,Calhoun,SC,"Calhoun, SC",46304,7,1260,54000,-7696,0.86
 2021,Calhoun,SC,"Calhoun, SC",50375,9,1114,47743,2632,1.06
 2019,Calhoun,TX,"Calhoun, TX",56746,0,1253,53700,3046,1.06
 2020,Calhoun,TX,"Calhoun, TX",58732,4,1171,50186,8546,1.17
 2021,Calhoun,TX,"Calhoun, TX",60589,3,1228,52629,7960,1.15
 2019,Calhoun,WV,"Calhoun, WV",35162,0,480,20571,14591,1.71
 2020,Calhoun,WV,"Calhoun, WV",38841,11,356,15257,23584,2.55
 2021,Calhoun,WV,"Calhoun, WV",41444,7,689,29529,11915,1.4
 2019,Callahan,TX,"Callahan, TX",45861,0,680,29143,16718,1.57
 2020,Callahan,TX,"Callahan, TX",48266,5,734,31457,16809,1.53
 2021,Callahan,TX,"Callahan, TX",50963,6,972,41657,9306,1.22
 2019,Callaway,MO,"Callaway, MO",40115,0,772,33086,7029,1.21
 2020,Callaway,MO,"Callaway, MO",43671,9,822,35229,8442,1.24
 2021,Callaway,MO,"Callaway, MO",46191,6,961,41186,5005,1.12
 2019,Calloway,KY,"Calloway, KY",38546,0,884,37886,660,1.02
 2020,Calloway,KY,"Calloway, KY",42036,9,982,42086,-50,1
 2021,Calloway,KY,"Calloway, KY",44116,5,1150,49286,-5170,0.9
 2019,Calumet,WI,"Calumet, WI",51380,0,1273,54557,-3177,0.94
 2020,Calumet,WI,"Calumet, WI",54031,5,1289,55243,-1212,0.98
 2021,Calumet,WI,"Calumet, WI",57182,6,1446,61971,-4789,0.92
 2019,Calvert,MD,"Calvert, MD",63780,0,1741,74614,-10834,0.85
 2020,Calvert,MD,"Calvert, MD",66872,5,1843,78986,-12114,0.85
 2021,Calvert,MD,"Calvert, MD",70690,6,1838,78771,-8081,0.9
 2019,Camas,ID,"Camas, ID",54184,0,1289,55243,-1059,0.98
 2020,Camas,ID,"Camas, ID",59629,10,1472,63086,-3457,0.95
 2021,Camas,ID,"Camas, ID",62248,4,1723,73843,-11595,0.84
 2019,Cambria,PA,"Cambria, PA",43120,0,347,14871,28249,2.9
 2020,Cambria,PA,"Cambria, PA",46609,8,370,15857,30752,2.94
 2021,Cambria,PA,"Cambria, PA",49472,6,461,19757,29715,2.5
 2019,Camden,GA,"Camden, GA",37169,0,1039,44529,-7360,0.83
 2020,Camden,GA,"Camden, GA",39729,7,1207,51729,-12000,0.77
 2021,Camden,GA,"Camden, GA",42945,8,1543,66129,-23184,0.65
 2019,Camden,MO,"Camden, MO",42487,0,1217,52157,-9670,0.81
 2020,Camden,MO,"Camden, MO",46149,9,1326,56829,-10680,0.81
 2021,Camden,MO,"Camden, MO",53779,17,1988,85200,-31421,0.63
 2019,Camden,NC,"Camden, NC",49318,0,1426,61114,-11796,0.81
 2020,Camden,NC,"Camden, NC",52032,6,1475,63214,-11182,0.82
 2021,Camden,NC,"Camden, NC",55457,7,1851,79329,-23872,0.7
 2019,Camden,NJ,"Camden, NJ",53811,0,873,37414,16397,1.44
 2020,Camden,NJ,"Camden, NJ",57483,7,967,41443,16040,1.39
 2021,Camden,NJ,"Camden, NJ",61642,7,1198,51343,10299,1.2
 2019,Cameron,LA,"Cameron, LA",57177,0,1392,59657,-2480,0.96
 2020,Cameron,LA,"Cameron, LA",58059,2,1673,71700,-13641,0.81
 2021,Cameron,LA,"Cameron, LA",63384,9,1500,64286,-902,0.99
 2019,Cameron,PA,"Cameron, PA",46309,0,339,14529,31780,3.19
 2020,Cameron,PA,"Cameron, PA",51527,11,294,12600,38927,4.09
 2021,Cameron,PA,"Cameron, PA",54352,6,605,25929,28423,2.1
 2019,Cameron,TX,"Cameron, TX",30361,0,1038,44486,-14125,0.68
 2020,Cameron,TX,"Cameron, TX",34040,12,1162,49800,-15760,0.68
 2021,Cameron,TX,"Cameron, TX",37861,11,1403,60129,-22268,0.63
 2019,Camp,TX,"Camp, TX",39703,0,1126,48257,-8554,0.82
 2020,Camp,TX,"Camp, TX",42896,8,1250,53571,-10675,0.8
 2021,Camp,TX,"Camp, TX",46705,9,1266,54257,-7552,0.86
 2019,Campbell,KY,"Campbell, KY",51621,0,983,42129,9492,1.23
 2020,Campbell,KY,"Campbell, KY",55115,7,1426,61114,-5999,0.9
 2021,Campbell,KY,"Campbell, KY",58701,7,1785,76500,-17799,0.77
 2019,Campbell,SD,"Campbell, SD",46144,0,1051,45043,1101,1.02
 2020,Campbell,SD,"Campbell, SD",67948,47,143,6129,61819,11.09
 2021,Campbell,SD,"Campbell, SD",79723,17,654,28029,51694,2.84
 2019,Campbell,TN,"Campbell, TN",35824,0,917,39300,-3476,0.91
 2020,Campbell,TN,"Campbell, TN",38706,8,900,38571,135,1
 2021,Campbell,TN,"Campbell, TN",42471,10,1264,54171,-11700,0.78
 2019,Campbell,WY,"Campbell, WY",53876,0,1006,43114,10762,1.25
 2020,Campbell,WY,"Campbell, WY",54040,0,1033,44271,9769,1.22
 2021,Campbell,WY,"Campbell, WY",56008,4,1152,49371,6637,1.13
 2019,Canadian,OK,"Canadian, OK",46536,0,1061,45471,1065,1.02
 2020,Canadian,OK,"Canadian, OK",47987,3,1100,47143,844,1.02
 2021,Canadian,OK,"Canadian, OK",50309,5,1288,55200,-4891,0.91
 2019,Cannon,TN,"Cannon, TN",37663,0,888,38057,-394,0.99
 2020,Cannon,TN,"Cannon, TN",40263,7,1107,47443,-7180,0.85
 2021,Cannon,TN,"Cannon, TN",44419,10,1636,70114,-25695,0.63
 2019,Canyon,ID,"Canyon, ID",35791,0,1298,55629,-19838,0.64
 2020,Canyon,ID,"Canyon, ID",39017,9,1493,63986,-24969,0.61
 2021,Canyon,ID,"Canyon, ID",41980,8,2008,86057,-44077,0.49
 2019,Cape Girardeau,MO,"Cape Girardeau, MO",43856,0,852,36514,7342,1.2
 2020,Cape Girardeau,MO,"Cape Girardeau, MO",46449,6,879,37671,8778,1.23
 2021,Cape Girardeau,MO,"Cape Girardeau, MO",48732,5,1147,49157,-425,0.99
 2019,Cape May,NJ,"Cape May, NJ",63302,0,2098,89914,-26612,0.7
 2020,Cape May,NJ,"Cape May, NJ",68326,8,2333,99986,-31660,0.68
